date, open, high, low, close, volume
2018.04.23 04:05,1.22675,1.22684,1.22672,1.22674,41,0
2018.04.23 04:06,1.22674,1.22687,1.22669,1.22669,43,0
2018.04.23 04:07,1.22669,1.22682,1.22669,1.22679,45,0
2018.04.23 04:08,1.22679,1.22689,1.22678,1.22689,20,0
2018.04.23 04:09,1.22689,1.22693,1.22688,1.22688,27,0
2018.04.23 04:10,1.22688,1.22688,1.22683,1.22685,12,0
2018.04.23 04:11,1.22685,1.22697,1.22684,1.22690,33,0
2018.04.23 04:12,1.22690,1.22690,1.22684,1.22687,10,0
2018.04.23 04:13,1.22687,1.22691,1.22678,1.22679,26,0
2018.04.23 04:14,1.22679,1.22685,1.22674,1.22674,37,0
2018.04.23 04:15,1.22674,1.22677,1.22669,1.22674,18,0
2018.04.23 04:16,1.22674,1.22674,1.22658,1.22663,43,0
2018.04.23 04:17,1.22663,1.22665,1.22658,1.22658,25,0
2018.04.23 04:18,1.22658,1.22658,1.22650,1.22657,19,0
2018.04.23 04:19,1.22658,1.22661,1.22658,1.22658,5,0
2018.04.23 04:20,1.22658,1.22673,1.22654,1.22670,39,0
2018.04.23 04:21,1.22670,1.22673,1.22663,1.22663,33,0
2018.04.23 04:22,1.22663,1.22673,1.22660,1.22667,24,0
2018.04.23 04:23,1.22667,1.22673,1.22652,1.22653,37,0
2018.04.23 04:24,1.22653,1.22655,1.22650,1.22655,12,0
2018.04.23 04:25,1.22655,1.22658,1.22655,1.22657,7,0
2018.04.23 04:26,1.22657,1.22687,1.22657,1.22686,26,0
2018.04.23 04:27,1.22686,1.22698,1.22683,1.22683,39,0
2018.04.23 04:28,1.22683,1.22685,1.22667,1.22668,52,0
2018.04.23 04:29,1.22668,1.22673,1.22663,1.22668,31,0
2018.04.23 04:30,1.22668,1.22696,1.22668,1.22695,46,0
2018.04.23 04:31,1.22695,1.22695,1.22690,1.22694,25,0
2018.04.23 04:32,1.22694,1.22709,1.22693,1.22708,37,0
2018.04.23 04:33,1.22708,1.22713,1.22704,1.22713,34,0
2018.04.23 04:34,1.22713,1.22729,1.22713,1.22729,69,0
2018.04.23 04:35,1.22729,1.22729,1.22723,1.22729,23,0
2018.04.23 04:36,1.22729,1.22737,1.22729,1.22735,34,0
2018.04.23 04:37,1.22735,1.22740,1.22735,1.22740,4,0
2018.04.23 04:38,1.22740,1.22761,1.22740,1.22755,79,0
2018.04.23 04:39,1.22755,1.22756,1.22740,1.22749,43,0
2018.04.23 04:40,1.22749,1.22769,1.22747,1.22768,37,0
2018.04.23 04:41,1.22768,1.22782,1.22764,1.22782,49,0
2018.04.23 04:42,1.22780,1.22786,1.22761,1.22773,84,0
2018.04.23 04:43,1.22773,1.22778,1.22771,1.22774,16,0
2018.04.23 04:44,1.22774,1.22774,1.22759,1.22763,24,0
2018.04.23 04:45,1.22763,1.22763,1.22753,1.22758,19,0
2018.04.23 04:46,1.22758,1.22777,1.22758,1.22767,48,0
2018.04.23 04:47,1.22767,1.22769,1.22763,1.22763,20,0
2018.04.23 04:48,1.22763,1.22775,1.22763,1.22768,28,0
2018.04.23 04:49,1.22768,1.22771,1.22757,1.22766,33,0
2018.04.23 04:50,1.22766,1.22766,1.22755,1.22762,33,0
2018.04.23 04:51,1.22762,1.22767,1.22762,1.22767,17,0
2018.04.23 04:52,1.22767,1.22787,1.22767,1.22783,53,0
2018.04.23 04:53,1.22783,1.22783,1.22777,1.22778,19,0
2018.04.23 04:54,1.22778,1.22787,1.22773,1.22773,53,0
2018.04.23 04:55,1.22773,1.22791,1.22773,1.22788,22,0
2018.04.23 04:56,1.22788,1.22796,1.22788,1.22794,16,0
2018.04.23 04:57,1.22794,1.22794,1.22782,1.22783,21,0
2018.04.23 04:58,1.22783,1.22788,1.22783,1.22788,30,0
2018.04.23 04:59,1.22788,1.22793,1.22782,1.22786,55,0
2018.04.23 05:00,1.22786,1.22786,1.22767,1.22767,35,0
2018.04.23 05:01,1.22767,1.22769,1.22760,1.22766,39,0
2018.04.23 05:02,1.22766,1.22768,1.22763,1.22765,34,0
2018.04.23 05:03,1.22765,1.22766,1.22757,1.22757,49,0
2018.04.23 05:04,1.22757,1.22757,1.22742,1.22748,43,0
2018.04.23 05:05,1.22748,1.22753,1.22746,1.22746,19,0
2018.04.23 05:06,1.22745,1.22753,1.22742,1.22751,35,0
2018.04.23 05:07,1.22752,1.22752,1.22743,1.22747,27,0
2018.04.23 05:08,1.22747,1.22747,1.22736,1.22743,62,0
2018.04.23 05:09,1.22744,1.22748,1.22743,1.22748,17,0
2018.04.23 05:10,1.22748,1.22754,1.22748,1.22749,19,0
2018.04.23 05:11,1.22749,1.22754,1.22749,1.22753,13,0
2018.04.23 05:12,1.22753,1.22760,1.22751,1.22754,26,0
2018.04.23 05:13,1.22754,1.22754,1.22747,1.22751,31,0
2018.04.23 05:14,1.22751,1.22756,1.22748,1.22748,25,0
2018.04.23 05:15,1.22748,1.22753,1.22742,1.22743,25,0
2018.04.23 05:16,1.22743,1.22746,1.22741,1.22743,18,0
2018.04.23 05:17,1.22743,1.22750,1.22742,1.22748,10,0
2018.04.23 05:18,1.22748,1.22748,1.22737,1.22744,25,0
2018.04.23 05:19,1.22744,1.22749,1.22744,1.22745,15,0
2018.04.23 05:20,1.22745,1.22745,1.22739,1.22743,12,0
2018.04.23 05:21,1.22744,1.22745,1.22739,1.22743,13,0
2018.04.23 05:22,1.22743,1.22747,1.22739,1.22743,22,0
2018.04.23 05:23,1.22743,1.22747,1.22742,1.22742,17,0
2018.04.23 05:24,1.22742,1.22748,1.22737,1.22746,34,0
2018.04.23 05:25,1.22746,1.22754,1.22746,1.22748,43,0
2018.04.23 05:26,1.22749,1.22751,1.22743,1.22749,85,0
2018.04.23 05:27,1.22749,1.22749,1.22745,1.22748,19,0
2018.04.23 05:28,1.22748,1.22748,1.22746,1.22748,5,0
2018.04.23 05:29,1.22749,1.22751,1.22743,1.22743,21,0
2018.04.23 05:30,1.22744,1.22748,1.22743,1.22748,6,0
2018.04.23 05:31,1.22748,1.22751,1.22737,1.22747,48,0
2018.04.23 05:32,1.22746,1.22749,1.22743,1.22748,47,0
2018.04.23 05:33,1.22748,1.22754,1.22747,1.22752,21,0
2018.04.23 05:34,1.22752,1.22754,1.22747,1.22754,21,0
2018.04.23 05:35,1.22754,1.22754,1.22743,1.22743,12,0
2018.04.23 05:36,1.22743,1.22772,1.22742,1.22768,42,0
2018.04.23 05:37,1.22768,1.22769,1.22767,1.22767,8,0
2018.04.23 05:38,1.22767,1.22773,1.22767,1.22773,16,0
2018.04.23 05:39,1.22772,1.22772,1.22768,1.22769,11,0
2018.04.23 05:40,1.22769,1.22770,1.22759,1.22764,31,0
2018.04.23 05:41,1.22763,1.22772,1.22760,1.22771,63,0
2018.04.23 05:42,1.22771,1.22771,1.22768,1.22768,10,0
2018.04.23 05:43,1.22768,1.22769,1.22767,1.22767,4,0
2018.04.23 05:44,1.22767,1.22769,1.22767,1.22769,3,0
2018.04.23 05:45,1.22769,1.22769,1.22766,1.22767,7,0
2018.04.23 05:46,1.22767,1.22770,1.22765,1.22768,23,0
2018.04.23 05:47,1.22768,1.22771,1.22768,1.22770,19,0
2018.04.23 05:48,1.22769,1.22769,1.22758,1.22762,27,0
2018.04.23 05:49,1.22762,1.22764,1.22759,1.22763,14,0
2018.04.23 05:50,1.22763,1.22764,1.22757,1.22758,35,0
2018.04.23 05:51,1.22758,1.22758,1.22758,1.22758,1,0
2018.04.23 05:52,1.22758,1.22759,1.22753,1.22753,8,0
2018.04.23 05:53,1.22753,1.22763,1.22753,1.22762,16,0
2018.04.23 05:54,1.22762,1.22763,1.22762,1.22763,6,0
2018.04.23 05:55,1.22763,1.22764,1.22753,1.22758,14,0
2018.04.23 05:56,1.22758,1.22759,1.22758,1.22759,2,0
2018.04.23 05:57,1.22759,1.22765,1.22759,1.22762,16,0
2018.04.23 05:58,1.22762,1.22767,1.22758,1.22766,26,0
2018.04.23 05:59,1.22766,1.22769,1.22751,1.22753,30,0
2018.04.23 06:00,1.22753,1.22755,1.22749,1.22750,23,0
2018.04.23 06:01,1.22750,1.22750,1.22746,1.22750,13,0
2018.04.23 06:02,1.22750,1.22754,1.22741,1.22743,40,0
2018.04.23 06:03,1.22742,1.22742,1.22727,1.22731,40,0
2018.04.23 06:04,1.22731,1.22736,1.22731,1.22735,27,0
2018.04.23 06:05,1.22735,1.22736,1.22731,1.22736,18,0
2018.04.23 06:06,1.22736,1.22738,1.22736,1.22738,3,0
2018.04.23 06:07,1.22738,1.22747,1.22737,1.22743,18,0
2018.04.23 06:08,1.22742,1.22743,1.22739,1.22743,21,0
2018.04.23 06:09,1.22743,1.22743,1.22736,1.22737,27,0
2018.04.23 06:10,1.22737,1.22741,1.22737,1.22739,9,0
2018.04.23 06:11,1.22739,1.22744,1.22738,1.22743,12,0
2018.04.23 06:12,1.22743,1.22749,1.22743,1.22749,11,0
2018.04.23 06:13,1.22748,1.22748,1.22736,1.22738,25,0
2018.04.23 06:14,1.22738,1.22738,1.22728,1.22728,12,0
2018.04.23 06:15,1.22728,1.22728,1.22723,1.22727,12,0
2018.04.23 06:16,1.22727,1.22728,1.22727,1.22728,4,0
2018.04.23 06:17,1.22728,1.22732,1.22727,1.22728,14,0
2018.04.23 06:18,1.22728,1.22737,1.22728,1.22736,29,0
2018.04.23 06:19,1.22736,1.22737,1.22733,1.22733,12,0
2018.04.23 06:20,1.22733,1.22733,1.22727,1.22727,9,0
2018.04.23 06:21,1.22727,1.22728,1.22726,1.22728,8,0
2018.04.23 06:22,1.22728,1.22733,1.22728,1.22732,7,0
2018.04.23 06:23,1.22732,1.22737,1.22732,1.22733,11,0
2018.04.23 06:24,1.22733,1.22733,1.22728,1.22732,9,0
2018.04.23 06:25,1.22732,1.22738,1.22732,1.22738,6,0
2018.04.23 06:26,1.22738,1.22740,1.22738,1.22738,7,0
2018.04.23 06:27,1.22738,1.22738,1.22733,1.22734,7,0
2018.04.23 06:28,1.22734,1.22734,1.22732,1.22732,3,0
2018.04.23 06:29,1.22732,1.22734,1.22732,1.22733,7,0
2018.04.23 06:30,1.22733,1.22742,1.22733,1.22742,12,0
2018.04.23 06:31,1.22742,1.22742,1.22737,1.22738,8,0
2018.04.23 06:32,1.22738,1.22738,1.22737,1.22737,2,0
2018.04.23 06:33,1.22737,1.22738,1.22737,1.22738,2,0
2018.04.23 06:34,1.22738,1.22740,1.22738,1.22739,8,0
2018.04.23 06:35,1.22739,1.22739,1.22733,1.22734,10,0
2018.04.23 06:36,1.22734,1.22734,1.22728,1.22728,15,0
2018.04.23 06:37,1.22728,1.22728,1.22727,1.22728,3,0
2018.04.23 06:38,1.22728,1.22728,1.22728,1.22728,1,0
2018.04.23 06:39,1.22728,1.22742,1.22728,1.22738,24,0
2018.04.23 06:40,1.22738,1.22738,1.22737,1.22737,2,0
2018.04.23 06:41,1.22737,1.22738,1.22737,1.22738,8,0
2018.04.23 06:42,1.22738,1.22738,1.22738,1.22738,1,0
2018.04.23 06:43,1.22738,1.22743,1.22738,1.22742,7,0
2018.04.23 06:44,1.22742,1.22742,1.22737,1.22738,7,0
2018.04.23 06:45,1.22738,1.22738,1.22738,1.22738,1,0
2018.04.23 06:46,1.22738,1.22738,1.22734,1.22737,8,0
2018.04.23 06:47,1.22737,1.22737,1.22731,1.22733,11,0
2018.04.23 06:48,1.22733,1.22733,1.22722,1.22722,12,0
2018.04.23 06:49,1.22722,1.22722,1.22717,1.22718,7,0
2018.04.23 06:50,1.22718,1.22723,1.22717,1.22723,7,0
2018.04.23 06:51,1.22723,1.22723,1.22722,1.22722,2,0
2018.04.23 06:52,1.22722,1.22724,1.22722,1.22722,5,0
2018.04.23 06:53,1.22722,1.22722,1.22717,1.22717,5,0
2018.04.23 06:54,1.22717,1.22717,1.22712,1.22713,14,0
2018.04.23 06:55,1.22713,1.22720,1.22712,1.22718,20,0
2018.04.23 06:56,1.22718,1.22719,1.22716,1.22717,10,0
2018.04.23 06:57,1.22717,1.22721,1.22717,1.22717,11,0
2018.04.23 06:58,1.22717,1.22718,1.22716,1.22718,8,0
2018.04.23 06:59,1.22718,1.22722,1.22717,1.22717,14,0
2018.04.23 07:00,1.22717,1.22717,1.22706,1.22711,25,0
2018.04.23 07:01,1.22711,1.22711,1.22705,1.22707,11,0
2018.04.23 07:02,1.22707,1.22711,1.22706,1.22711,19,0
2018.04.23 07:03,1.22711,1.22712,1.22710,1.22711,6,0
2018.04.23 07:04,1.22711,1.22716,1.22710,1.22714,19,0
2018.04.23 07:05,1.22714,1.22718,1.22710,1.22717,23,0
2018.04.23 07:06,1.22717,1.22717,1.22717,1.22717,1,0
2018.04.23 07:07,1.22717,1.22717,1.22705,1.22708,28,0
2018.04.23 07:08,1.22708,1.22709,1.22705,1.22705,11,0
2018.04.23 07:09,1.22705,1.22712,1.22705,1.22712,11,0
2018.04.23 07:10,1.22712,1.22715,1.22707,1.22714,20,0
2018.04.23 07:11,1.22714,1.22716,1.22714,1.22714,5,0
2018.04.23 07:12,1.22714,1.22719,1.22712,1.22719,12,0
2018.04.23 07:13,1.22719,1.22723,1.22718,1.22723,18,0
2018.04.23 07:14,1.22723,1.22727,1.22718,1.22718,22,0
2018.04.23 07:15,1.22718,1.22718,1.22706,1.22707,15,0
2018.04.23 07:16,1.22707,1.22713,1.22707,1.22713,12,0
2018.04.23 07:17,1.22713,1.22714,1.22713,1.22713,7,0
2018.04.23 07:18,1.22713,1.22723,1.22713,1.22718,21,0
2018.04.23 07:19,1.22718,1.22719,1.22713,1.22713,14,0
2018.04.23 07:20,1.22713,1.22720,1.22713,1.22719,16,0
2018.04.23 07:21,1.22719,1.22720,1.22717,1.22720,8,0
2018.04.23 07:22,1.22720,1.22723,1.22720,1.22723,3,0
2018.04.23 07:23,1.22723,1.22723,1.22718,1.22719,14,0
2018.04.23 07:24,1.22719,1.22719,1.22716,1.22718,5,0
2018.04.23 07:25,1.22718,1.22723,1.22718,1.22719,9,0
2018.04.23 07:26,1.22719,1.22720,1.22718,1.22719,7,0
2018.04.23 07:27,1.22718,1.22722,1.22718,1.22719,6,0
2018.04.23 07:28,1.22720,1.22722,1.22720,1.22722,5,0
2018.04.23 07:29,1.22722,1.22722,1.22719,1.22719,5,0
2018.04.23 07:30,1.22719,1.22719,1.22712,1.22713,20,0
2018.04.23 07:31,1.22713,1.22713,1.22702,1.22702,16,0
2018.04.23 07:32,1.22702,1.22723,1.22697,1.22722,42,0
2018.04.23 07:33,1.22722,1.22724,1.22717,1.22717,8,0
2018.04.23 07:34,1.22717,1.22723,1.22713,1.22723,13,0
2018.04.23 07:35,1.22723,1.22727,1.22718,1.22718,17,0
2018.04.23 07:36,1.22718,1.22718,1.22711,1.22711,8,0
2018.04.23 07:37,1.22711,1.22712,1.22702,1.22709,29,0
2018.04.23 07:38,1.22709,1.22709,1.22706,1.22707,17,0
2018.04.23 07:39,1.22707,1.22708,1.22703,1.22703,12,0
2018.04.23 07:40,1.22703,1.22712,1.22703,1.22710,18,0
2018.04.23 07:41,1.22710,1.22710,1.22708,1.22708,9,0
2018.04.23 07:42,1.22708,1.22709,1.22704,1.22704,9,0
2018.04.23 07:43,1.22704,1.22708,1.22704,1.22707,14,0
2018.04.23 07:44,1.22707,1.22708,1.22706,1.22707,15,0
2018.04.23 07:45,1.22707,1.22708,1.22707,1.22708,4,0
2018.04.23 07:46,1.22707,1.22711,1.22707,1.22708,12,0
2018.04.23 07:47,1.22708,1.22709,1.22702,1.22702,11,0
2018.04.23 07:48,1.22702,1.22703,1.22700,1.22703,10,0
2018.04.23 07:49,1.22703,1.22706,1.22703,1.22706,6,0
2018.04.23 07:50,1.22706,1.22706,1.22702,1.22702,4,0
2018.04.23 07:51,1.22702,1.22708,1.22700,1.22708,9,0
2018.04.23 07:52,1.22708,1.22711,1.22708,1.22711,4,0
2018.04.23 07:53,1.22711,1.22713,1.22711,1.22713,3,0
2018.04.23 07:54,1.22713,1.22727,1.22713,1.22727,15,0
2018.04.23 07:55,1.22727,1.22727,1.22721,1.22721,12,0
2018.04.23 07:56,1.22722,1.22723,1.22721,1.22722,4,0
2018.04.23 07:57,1.22722,1.22724,1.22719,1.22724,10,0
2018.04.23 07:58,1.22724,1.22727,1.22721,1.22722,28,0
2018.04.23 07:59,1.22722,1.22722,1.22716,1.22717,11,0
2018.04.23 08:00,1.22717,1.22719,1.22715,1.22718,12,0
2018.04.23 08:01,1.22718,1.22718,1.22714,1.22714,15,0
2018.04.23 08:02,1.22714,1.22714,1.22711,1.22714,8,0
2018.04.23 08:03,1.22714,1.22721,1.22714,1.22720,15,0
2018.04.23 08:04,1.22720,1.22729,1.22720,1.22725,29,0
2018.04.23 08:05,1.22725,1.22729,1.22724,1.22729,15,0
2018.04.23 08:06,1.22729,1.22745,1.22729,1.22738,53,0
2018.04.23 08:07,1.22738,1.22744,1.22738,1.22743,9,0
2018.04.23 08:08,1.22743,1.22750,1.22742,1.22747,15,0
2018.04.23 08:09,1.22749,1.22750,1.22747,1.22750,16,0
2018.04.23 08:10,1.22750,1.22750,1.22747,1.22749,10,0
2018.04.23 08:11,1.22748,1.22748,1.22739,1.22739,19,0
2018.04.23 08:12,1.22739,1.22742,1.22739,1.22742,14,0
2018.04.23 08:13,1.22742,1.22749,1.22740,1.22746,13,0
2018.04.23 08:14,1.22746,1.22748,1.22745,1.22745,4,0
2018.04.23 08:15,1.22745,1.22745,1.22738,1.22738,10,0
2018.04.23 08:16,1.22738,1.22740,1.22736,1.22738,14,0
2018.04.23 08:17,1.22739,1.22739,1.22730,1.22730,19,0
2018.04.23 08:18,1.22730,1.22734,1.22729,1.22733,19,0
2018.04.23 08:19,1.22733,1.22733,1.22732,1.22733,5,0
2018.04.23 08:20,1.22733,1.22750,1.22733,1.22748,21,0
2018.04.23 08:21,1.22748,1.22751,1.22739,1.22740,19,0
2018.04.23 08:22,1.22740,1.22740,1.22740,1.22740,1,0
2018.04.23 08:23,1.22739,1.22739,1.22732,1.22733,9,0
2018.04.23 08:24,1.22733,1.22738,1.22733,1.22735,14,0
2018.04.23 08:25,1.22735,1.22739,1.22735,1.22739,8,0
2018.04.23 08:26,1.22739,1.22743,1.22738,1.22742,9,0
2018.04.23 08:27,1.22742,1.22742,1.22739,1.22740,8,0
2018.04.23 08:28,1.22740,1.22740,1.22736,1.22739,9,0
2018.04.23 08:29,1.22739,1.22743,1.22738,1.22738,10,0
2018.04.23 08:30,1.22738,1.22747,1.22733,1.22733,23,0
